訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
"亞東學校財團法人亞東科技大學","新北市","162564","Photoshop／Illustrator影像與數位繪圖整合設計實務班","36","14","5940","20250325","20250610"
"財團法人農業科技研究院","新竹市","162566","智慧農業無人機應用3D建模空拍學習進階班","42","30","9500","20250315","20250426"
"中華皮革工藝師協會","新北市","162568","男士酷愛雙拉鍊包打版＆削皮機應用班","54","20","11800","20250304","20250422"
"中華知識管理協會","高雄市","162571","精實生產與全面品質管理實務班","24","22","4500","20250305","20250326"
"中華知識管理協會","高雄市","162572","績效管理與應用訓練班","28","24","5300","20250308","20250329"
"宜蘭縣指甲彩繪美容職業工會","宜蘭縣","162575","美睫3D嫁接技能初階班","42","18","11110","20250311","20250415"
"宜蘭縣商店售貨服務人員職業工會","宜蘭縣","162576","皮革袋包商品開版縫製技能班","54","23","12000","20250323","20250525"
"中國科技大學","新竹縣","162577","溫馨手作烘焙班","36","20","7950","20250315","20250426"
"社團法人台灣國際鬆筋保健按摩協會","桃園市","162578","砭術鬆筋手技實務班","72","20","11940","20250323","20250622"
"中國科技大學","新竹縣","162579","花藝美學設計班","36","20","8300","20250315","20250503"
"台灣美髮美容美體業產業工會","桃園市","162580","時尚美睫實戰與視覺行銷策略班","42","18","11110","20250319","20250618"
"社團法人台灣視覺創意設計協會","臺中市","162581","平面廣告設計暨illustrator印刷實務班","49","20","6850","20250308","20250426"
"社團法人苗栗縣體育促進會","苗栗縣","162587","流行mv舞蹈訓練班","36","16","6800","20250303","20250630"
"社團法人苗栗縣體育促進會","苗栗縣","162588","哈達瑜珈進階班","34","18","6420","20250304","20250624"
"社團法人苗栗縣體育促進會","苗栗縣","162589","肚皮舞訓練班","32","18","6030","20250306","20250626"
"社團法人中華中小企業財務顧問協會","臺北市","162592","會計基礎與稅務申報實務班","36","25","5400","20250315","20250426"
"宜蘭縣婚禮設計服務人員職業工會","宜蘭縣","162593","中式婚宴禮服設計製作班","54","18","12000","20250322","20250524"
"社團法人中華民國居家用品創意翻新協會","高雄市","162596","成衣女裝製作基礎班","126","20","28000","20250322","20250719"
"台北市雙北市產業總工會","新北市","162598","金工基礎技能班","54","25","11800","20250303","20250421"
"健行學校財團法人健行科技大學","桃園市","162599","AI應用實務班","42","20","6520","20250309","20250427"
"健行學校財團法人健行科技大學","桃園市","162600","職場多益英語文法應用班","36","20","5120","20250309","20250420"
"社團法人中華民國民俗調理教育發展協會","臺北市","162604","健康管理相關從業人員實務之營養與養生經絡班","30","20","5670","20250315","20250419"
"社團法人中華民國工業協進會","臺北市","162607","職場生活日文班","42","24","7880","20250310","20250623"
"社團法人中華民國工業協進會","臺北市","162608","實用韓國語會話班","42","24","7870","20250312","20250618"
"社團法人中華兩岸全方位家庭發展協會","臺北市","162609","產後專業照顧服務人員培訓班","42","20","8330","20250309","20250329"
"中華民國全國航空業總工會","桃園市","162612","飛機修護進階班","128","18","28460","20250309","20250622"
"社團法人中華勞動人才發展協會","新北市","162615","日文─N5訓練班","42","20","7850","20250308","20250426"
"財團法人中華民國職業訓練研究發展中心","臺北市","162621","職場心理學實務應用班","30","25","5400","20250316","20250420"
"社團法人中華勞動人才發展協會","新北市","162623","日文─N4能力提昇班","42","20","7840","20250225","20250418"
"苗栗縣運動舞蹈職業工會","苗栗縣","162627","全方位瑜珈訓練班","32","16","5900","20250304","20250617"
"苗栗縣運動舞蹈職業工會","苗栗縣","162628","全方位拉丁舞進階班","45","17","8350","20250307","20250627"
"苗栗縣運動舞蹈職業工會","苗栗縣","162629","拉丁表演人才訓練班","47","16","8600","20250307","20250627"
"社團法人台灣國際專案管理師協會","臺北市","162636","PMP專案管理流程實務班","42","25","7060","20250315","20250413"
"社團法人中華第二專長發展協會","臺北市","162637","手沖咖啡調製班","42","25","8650","20250308","20250426"
"台北市雙北市產業總工會","新北市","162638","皮革袋包＆DY針車結構班","54","25","11800","20250303","20250421"
"社團法人台灣社區活化協會","高雄市","162640","手沖咖啡萃取品評與拉花實作班","45","24","8270","20250323","20250518"
"長榮大學","高雄市","162652","CQT品質管理技術人員訓練班","47","19","8800","20250330","20250608"
"社團法人中華巨倫人才培訓協會","臺中市","162654","西班牙語初級班","47","18","8910","20250317","20250630"
"社團法人中華民國腳底按摩協會","臺北市","162658","腳底按摩基礎理論與從業實務班","46","20","7820","20250309","20250421"
"高雄市職能培訓作業人員職業工會","高雄市","162659","男士快剪燙髮造型及頭皮按摩實務班","98","20","22630","20250308","20250621"
"高雄市職能培訓作業人員職業工會","高雄市","162660","手機拍攝技巧與APP後製應用班","36","20","6800","20250314","20250425"
"高雄市職能培訓作業人員職業工會","高雄市","162661","手機拍攝技巧與APP後製應用班","36","20","6800","20250324","20250428"
"台灣勞動教育產業工會","高雄市","162664","香氛手工皂與矽膠模型製作應用班","54","25","10660","20250325","20250529"
"台中市不動產經紀人職業工會","臺中市","162670","不動產民法與土地相關法規實務班","132","21","21780","20250308","20250525"
"桃園市人力資源管理協會","桃園市","162672","進階職場生活日語應用班","45","20","8500","20250307","20250627"
"高雄市企業發展諮詢輔導人員職業工會","高雄市","162673","財稅會計與財務規劃實務班","35","22","6640","20250223","20250330"
"社團法人中華職安科技協會","臺北市","162677","ESG淨零碳規劃管理人員訓練實務班","41","30","6760","20250308","20250323"
"中華數位人資應用管理協會","新竹縣","162679","勞動法令與就業服務訓練班","54","20","8910","20250308","20250503"
"社團法人台灣社區活化協會","臺北市","162680","微電商營運與社群行銷整合實戰班","36","30","5290","20250322","20250503"
"社團法人中華造型藝術學會","新北市","162684","美容彩妝技能實務A班","98","20","22630","20250315","20250628"
"社團法人台灣租賃住宅市場發展及管理協會","臺北市","162688","包租代管主管培訓班","42","20","7900","20250322","20250517"
"高雄西餐服務人員職業工會","高雄市","162689","西式餐點烹調技能班","87","30","17940","20250324","20250602"
"彰化縣職業工會總工會","彰化縣","162694","住宅環境風水應用實務班","72","20","11850","20250304","20250529"
"新高雄總工會","高雄市","162695","植物染應用實作班","54","25","10880","20250309","20250511"
"彰化縣職業工會總工會","彰化縣","162696","單人國標舞進階班","54","25","8500","20250304","20250701"
"新高雄總工會","高雄市","162697","淨零碳規劃管理初階訓練班","36","25","6000","20250312","20250423"
"彰化縣職業工會總工會","彰化縣","162698","瑜珈核心舞蹈班","48","30","6750","20250307","20250704"
"新高雄總工會","高雄市","162699","精品咖啡烘焙應用班","60","25","10870","20250315","20250524"
"彰化縣職業工會總工會","彰化縣","162700","地方小吃料理實務班","72","25","14600","20250310","20250528"
"彰化縣職業工會總工會","彰化縣","162702","經典烘焙實務班","72","25","14600","20250318","20250610"
"正修學校財團法人正修科技大學","高雄市","162712","中式米麵食製作實務班","54","24","8900","20250309","20250511"
"社團法人基隆市勞動力職能發展協會","基隆市","162714","和菓子點心製作料理班","54","15","11130","20250302","20250504"
"社團法人台灣租賃住宅市場發展及管理協會","桃園市","162715","租賃住宅管理實務班","42","20","7500","20250308","20250503"
"社團法人台灣藝術人文與教育科技協會","臺北市","162720","文創事業品牌行銷與永續經營管理班","36","18","6790","20250318","20250429"
"中華整體美學交流協會","臺中市","162722","美容技能應用進階實務班","60","18","13850","20250315","20250524"
"社團法人中華民國體育促進會","苗栗縣","162723","拉丁舞綜合訓練班","45","16","8100","20250318","20250624"
"社團法人中華民國體育促進會","新竹市","162724","活力舞蹈訓練班","32","17","5390","20250306","20250626"
"社團法人中華民國體育促進會","苗栗縣","162725","律動瑜珈人才中級班","34","17","6100","20250305","20250625"
"台灣科學園區科學工業同業公會","臺中市","162726","商用稅務會計實務班","42","22","7500","20250308","20250426"
"台灣科學園區科學工業同業公會","臺中市","162727","新版ISO9001:2015品質管理系統輔導人員實務訓練班","42","22","7500","20250315","20250426"
"社團法人宜蘭縣產業勞工權益協進會","宜蘭縣","162733","倉儲作業人員訓練A班","47","40","10700","20250224","20250316"
"社團法人花蓮縣人力資源訓練發展協會","花蓮縣","162734","中式麵食酥油皮.糕漿皮手作班","39","24","9250","20250324","20250423"
"新北市生前契約規劃從業人員職業工會","新北市","162740","會場歐式花藝班","42","26","10700","20250308","20250426"
"東海大學","臺中市","162742","秘書暨行政人員工作術實務訓練班","35","22","6500","20250322","20250503"
"社團法人中華芳香生活美學協會","桃園市","162745","芳香紓壓調理基礎班","108","20","19800","20250412","20250809"
"社團法人新北市觀光導遊協會","臺北市","162748","故宮文物導覽解說培訓班","45","20","8350","20250305","20250423"
"社團法人中華國際職業美學協會","桃園市","162754","凝膠彩繪美甲班","144","20","19290","20250315","20250629"
"台灣省電工器材業產業工會聯合會","臺中市","162758","就業服務人員法令解析班","32","24","6070","20250316","20250413"
"台灣省電工器材業產業工會聯合會","臺中市","162760","就業服務人員法令解析班","33","24","6260","20250319","20250428"
"社團法人中華國際職業美學協會","桃園市","162763","美睫專業人才培訓班","54","20","11760","20250309","20250511"
"社團法人台灣視覺創意設計協會","臺北市","162764","商業攝影暨Photoshop實務應用班","66","19","10000","20250304","20250522"
"社團法人中華國際職業美學協會","桃園市","162767","美容產業講師培訓班","54","20","8640","20250323","20250525"
"財團法人台灣中小企業聯合輔導基金會","臺北市","162769","財務人員基礎班","24","25","4410","20250308","20250322"
"社團法人台灣行業專業協會","桃園市","162777","職場聲音潛能開發及溝通力應用班","35","20","6640","20250315","20250419"
"社團法人中華美甲整體造型職能認證協會","臺中市","162778","穿戴甲應用主題與凝膠沙龍班","84","18","19400","20250310","20250526"
"台北市鐘錶眼鏡業職業工會","臺北市","162781","鐘錶技術實務班","90","20","20000","20250303","20250512"
"新北市專業職能培訓人員職業工會","臺北市","162789","自媒體節目企畫製作人實務班","45","23","9300","20250307","20250627"
"花蓮縣專業職能培訓人員職業工會","花蓮縣","162791","中餐烹調實務技能班","124","30","25550","20250224","20250512"
"花蓮縣專業職能培訓人員職業工會","花蓮縣","162793","烘焙西點麵包餅乾製作進階班","77","20","15850","20250309","20250525"
"新北市勞動力援助人員職業工會","臺北市","162798","傳統整復推拿全身調理手法應用實務班","66","24","11430","20250321","20250613"
"南投縣小吃業職業工會","南投縣","162803","素食中餐烹調訓練班","54","24","10820","20250312","20250416"
"社團法人中華慈宥教育成長協會","臺中市","162809","居家清潔實務培訓班","36","20","6230","20250302","20250413"
"社團法人中華慈宥教育成長協會","臺中市","162810","下午茶飲與精品咖啡調製實務班","48","20","9870","20250308","20250503"
"東吳大學","臺北市","162811","日語聽說讀寫入門假日班","56","24","9240","20250316","20250706"
"社團法人宜蘭縣勞工教育協進會附設職業訓練中心","宜蘭縣","162815","三公噸以上固定式起重機操作人員訓練班","38","30","8650","20250304","20250330"
"臺北市糕餅業職業工會","臺北市","162820","西點蛋糕技能班","64","36","12800","20250225","20250320"
"基隆市調飲服務人員職業工會","基隆市","162822","咖啡與飲料調製實務班","54","25","11110","20250319","20250514"
"南投縣農產品服務職業工會","南投縣","162823","農萃精油手工皂實務班","54","24","11200","20250310","20250505"
"桃園市職能服務職業工會","桃園市","162827","商用韓語會話基礎應用班","42","20","7930","20250301","20250608"
"臺北市糕餅業職業工會","臺北市","162828","麵包製作班","47","32","10810","20250303","20250319"
"基隆市職業總工會","基隆市","162842","多媒材紙藝拼貼生活美學班","54","20","12000","20250226","20250423"
"基隆市職業總工會","基隆市","162843","西式點心班","54","20","11100","20250306","20250515"
"基隆市職業總工會","基隆市","162844","伴手禮實作班","54","20","11100","20250307","20250509"
"社團法人職場健康發展協會","臺北市","162848","績效考核與管理運用訓練班","24","30","4440","20250323","20250420"
"臺北市影劇歌舞服務職業工會","臺北市","162849","流行MV街舞人員培訓班","67","24","11050","20250308","20250524"
"社團法人新北市板橋口才發展協會","新北市","162850","職場表達與溝通技巧班","18","23","3530","20250315","20250329"
"靜宜大學","臺中市","162852","實用N3職場日語班","54","18","7500","20250223","20250427"
"靜宜大學","臺中市","162853","幼兒情緒教育學士學分班","36","18","5000","20250309","20250420"
"靜宜大學","臺中市","162855","芳香精油實務應用學士學分班","37","10","6920","20250322","20250503"
"臺北市影劇歌舞服務職業工會","臺北市","162857","國語正音、發聲訓練班","46","24","8690","20250226","20250604"
"臺北市影劇歌舞服務職業工會","臺北市","162860","專業歌唱人員表演技巧實務班","32","24","6040","20250308","20250503"
"臺北市挽臉從業人員職業工會","新北市","162861","臉部經絡耳穴保健班","42","22","11100","20250316","20250504"
"臺北市專業職能教學人員職業工會","臺北市","162868","樂齡活動指導員芳療精油應用實務班","47","23","12400","20250302","20250427"
"苗栗縣職業總工會","苗栗縣","162871","Ai高效創作實務班","45","18","8530","20250305","20250611"
"臺北市專業職能教學人員職業工會","臺北市","162872","PYTHON設計基礎班","47","22","9750","20250316","20250504"
"苗栗縣職業總工會","苗栗縣","162873","手捏陶藝創意班","51","24","11360","20250307","20250704"
"苗栗縣職業總工會","苗栗縣","162874","藝術果凍花實務班","30","24","7120","20250309","20250420"
"苗栗縣職業總工會","苗栗縣","162875","活用日語實務班","51","16","8410","20250311","20250701"
"基隆市調飲服務人員職業工會","基隆市","162887","專業咖啡萃取風味調整與烘焙技巧班","47","20","11100","20250301","20250426"
"花蓮縣總工會","花蓮縣","162888","皮雕創意設計班","54","22","10150","20250303","20250414"
"財團法人華岡興業基金會","臺北市","162895","人力資源管理實務班","35","30","6600","20250309","20250413"
"宜蘭縣病患家事服務職業工會","宜蘭縣","162900","中餐烹調實務班","84","24","17300","20250305","20250512"
"新北市總工會","新北市","162901","居家清潔用品實務班","54","20","12000","20250316","20250518"
"新北市總工會","新北市","162902","芳香療法紓壓心靈實務班","36","20","9520","20250318","20250429"
"財團法人華岡興業基金會","臺北市","162904","混沌理論與金融時間序列指數化理論與實務研習班","28","28","5200","20250315","20250503"
"財團法人華岡興業基金會","臺北市","162907","淨零碳管理能力訓練班","36","30","6800","20250315","20250426"
"基隆市商品包膜服務人員職業工會","基隆市","162908","皮革皮雕實作班","72","20","16030","20250223","20250525"
"臺北市勞動力服務人員職業工會附設職業訓練中心","臺北市","162914","Excel辦公軟體與ChatGPT實務班","36","20","6690","20250319","20250618"
"中華產業人才認證學會","臺中市","162916","商業會計循環及營所稅申報實務班","42","24","7930","20250309","20250504"
"臺灣勞動力服務人員職業工會聯合會","臺北市","162922","韓文會話實務應用班","36","20","6550","20250324","20250609"
"社團法人彰化縣電子商務協會","彰化縣","162923","電商影音與網路行銷班","60","25","10400","20250315","20250614"
"宜蘭縣資訊服務職業工會","宜蘭縣","162928","資訊3C產品包裝視覺設計創銷班","88","20","19600","20250313","20250522"
"基隆市小吃業職業工會","基隆市","162930","泰國風味料理訓練班","54","25","11060","20250317","20250512"
"臺北市寵物服務員職業工會","臺北市","162932","寵物飼養管理與美容技能職能班","36","28","7950","20250315","20250426"
"臺北市文化創意產業工會","臺北市","162934","時尚花藝創意設計班","42","20","10650","20250305","20250416"
"社團法人彰化縣培力學習協會","彰化縣","162938","中式米麵食實務班","48","25","8450","20250311","20250506"
"社團法人彰化縣培力學習協會","彰化縣","162939","體適能有氧律動班","30","25","4550","20250320","20250529"
"宜蘭縣營建土木職業工會","宜蘭縣","162944","手創木作傳統家具技能應用班","105","25","23380","20250301","20250621"
"宜蘭縣營建產業工會","宜蘭縣","162952","產業物件營造多元彩繪技能班","47","22","11990","20250309","20250420"
"社團法人彰化縣田尾公路花園協會","彰化縣","162953","園藝栽培與空間綠化應用實務班","36","26","8560","20250301","20250412"
"臺北市網路購物產業工會","臺北市","162956","Excel試算表實務應用班","42","25","7900","20250304","20250422"
