訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
"國際評量應用發展協會","桃園市","163091","領導深層溝通技巧班","35","22","5100","20250323","20250427"
"社團法人台灣安全衛生協會附設苗栗職業訓練中心","苗栗縣","163092","急救人員安全衛生教育訓練班","17","20","3110","20250306","20250318"
"社團法人台灣安全衛生協會附設苗栗職業訓練中心","苗栗縣","163094","丙種職業安全衛生業務主管教育訓練班","21","15","3390","20250324","20250414"
"社團法人中華不動產教育交流協會","桃園市","163099","地政士民法概要與土地稅法規實務班","96","20","15800","20250302","20250525"
"社團法人中華巨倫人才培訓協會","桃園市","163100","室內裝修材料估算運用班","47","18","8910","20250309","20250504"
"大葉大學","彰化縣","163105","適能筋絡瑜珈實務班","30","30","4500","20250225","20250603"
"大葉大學","彰化縣","163106","金融市場投資理財實務班","36","24","5400","20250306","20250605"
"大葉大學","彰化縣","163107","水電裝修實務班","48","20","9000","20250308","20250503"
"大葉大學","彰化縣","163108","台灣小吃烹飪技能班","36","20","6480","20250315","20250503"
"社團法人中華易經管理發展協會","臺中市","163110","姓名屬性分析與人脈關係經營運用班","24","24","4440","20250310","20250428"
"社團法人台灣美容技藝發展協會","新北市","163118","美容講師培訓班","47","16","9200","20250324","20250512"
"社團法人台灣美容技藝發展協會","新北市","163127","臉部護膚技能實務班","42","16","11000","20250316","20250427"
"社團法人台灣鵗力灣協會","新北市","163131","新多益聽力與閱讀能力提升班","36","28","5850","20250315","20250426"
"社團法人中華影視造型文化創意協會","臺北市","163136","手機數位攝影微影音錄製實務班","66","24","11500","20250216","20250511"
"社團法人新北市口才訓練協進會","臺北市","163137","職場口才訓練實用班","24","20","4200","20250308","20250329"
"社團法人中華商業發展協會","桃園市","163139","ESG綠領永續人才訓練班","36","20","6820","20250308","20250323"
"社團法人中華影視造型文化創意協會","臺北市","163141","新媒體網路廣告直播表演藝術班","48","24","8700","20250308","20250503"
"社團法人中華勞資法務顧問協會","新竹縣","163143","勞動及就業服務法規實務班","36","24","6760","20250308","20250419"
"新竹縣總工會","新竹縣","163147","輕食飲調製作實務班","45","20","9280","20250307","20250627"
"新竹縣總工會","新竹縣","163149","拼布手作應用班","88","24","18000","20250315","20250607"
"新竹縣總工會","新竹縣","163150","服裝創意再造班","84","24","14300","20250316","20250608"
"社團法人台灣新活力促進協會","新竹市","163157","實用日語會話應用班","36","22","5940","20250307","20250606"
"社團法人台灣新活力促進協會","新竹市","163158","職場溝通與表達技巧實務班","21","18","3460","20250315","20250329"
"新北市汽車美容人員職業工會","新北市","163164","生成式AI提案撰寫實務班","30","20","5900","20250325","20250429"
"新北市汽車美容人員職業工會","新北市","163169","說服力簡報與數位工具實戰班","24","20","4750","20250316","20250413"
"新北市汽車美容人員職業工會","新北市","163170","企業主管團體激勵與管理實務班","36","20","7100","20250315","20250419"
"新竹縣勞動力服務人員職業工會","新竹縣","163171","N4觀光產業日語基礎班","42","22","7930","20250308","20250426"
"臺灣文化創意拼布產業工會","臺北市","163172","插畫藝術從靈感到創作班","45","28","9100","20250315","20250510"
"新北市汽車美容人員職業工會","新北市","163175","口語表達與影片剪輯技巧班","36","20","7100","20250312","20250416"
"社團法人台灣職業技能訓練學會","桃園市","163184","香氛精油手工皂班","56","21","10610","20250315","20250510"
"基隆市集中市場從業人員職業工會","基隆市","163188","手機網紅短影音經營實務班","21","20","4370","20250305","20250416"
"基隆市集中市場從業人員職業工會","基隆市","163190","藍染實用生活創作班","18","20","4600","20250305","20250319"
"社團法人中華易經管理發展協會","桃園市","163192","姓名屬性分析與人脈關係經營運用班","24","24","4440","20250312","20250430"
"社團法人台灣不動產仲介發展協會","臺北市","163194","不動產經紀人複訓03班","30","20","5400","20250307","20250328"
"臺灣職能訓練產業工會","臺北市","163197","PMP國際專案管理訓練班","42","25","7930","20250304","20250422"
"社團法人基隆市勞資和諧促進會","基隆市","163201","Microsoft職場實務應用班","30","24","5480","20250301","20250329"
"社團法人中華民國珠寶金飾研究會","桃園市","163202","金工蠟雕設計實作班","47","26","11420","20250322","20250510"
"社團法人中華生涯規劃發展交流協會","新竹市","163203","選才識人技巧培訓班","18","25","3400","20250308","20250329"
"基隆市園藝花卉業職業工會","基隆市","163206","花藝設計環保素材應用班","47","28","9800","20250302","20250427"
"臺灣職能訓練產業工會","臺北市","163210","媒體創作者AI行銷自動化實作班","42","20","7960","20250307","20250613"
"社團法人中華民國瑜伽舞蹈養生協會","桃園市","163212","瑜珈教學人員應用實務班","36","20","6780","20250316","20250615"
"社團法人台灣勞工多元學習發展協會","臺中市","163213","日語實用會話基礎班","36","22","6830","20250319","20250604"
"社團法人台灣職能培育協會","桃園市","163215","造型點心職人班","52","25","10500","20250311","20250423"
"社團法人台灣職能培育協會","桃園市","163216","亞洲美食實務班","66","25","13600","20250315","20250524"
"社團法人台灣職能培育協會","桃園市","163217","中餐烹調技能班","98","25","19800","20250316","20250629"
"財團法人塑膠工業技術發展中心","桃園市","163219","醫療器材法規與臨床試驗基礎班","18","26","3410","20250314","20250411"
"社團法人彰化縣體育運動舞蹈協會","彰化縣","163220","燃脂有氧舞蹈及瑜珈訓練班","45","25","8460","20250226","20250604"
"社團法人彰化縣體育運動舞蹈協會","彰化縣","163221","體塑有氧舞蹈及平板瑜珈訓練班","45","30","8460","20250305","20250611"
"社團法人彰化縣體育運動舞蹈協會","彰化縣","163222","熱舞有氧舞蹈及瑜珈訓練班","45","30","8460","20250307","20250620"
"桃園市文創美學交流協會","桃園市","163228","創藝美甲凝膠設計進階實務班","54","18","12400","20250308","20250510"
"社團法人中華民國瑜伽舞蹈養生協會","桃園市","163229","心肺有氧與運動按摩實務班","36","20","6780","20250318","20250603"
"社團法人中華民國瑜伽舞蹈養生協會","桃園市","163231","流行MV舞派對有氧A班","36","20","6780","20250320","20250619"
"社團法人中華民國瑜伽舞蹈養生協會","桃園市","163232","健身指導員培訓實務班","36","20","6780","20250321","20250620"
"國立聯合大學","苗栗縣","163239","茶葉文創與AI行銷實作班","36","20","7500","20250315","20250426"
"中華民國安全衛生職能發展協會","桃園市","163241","金屬切割銲接操作人員訓練班","70","25","15500","20250312","20250504"
"中華職能開發策進會","臺北市","163242","關鍵人才培育計畫實務班","36","20","6800","20250315","20250426"
"基隆市總工會","基隆市","163251","園藝美學設計實作班","48","20","10690","20250301","20250426"
"基隆市總工會","基隆市","163257","植萃保養品調製及清潔用品應用班","54","18","11810","20250308","20250510"
"社團法人臺中市職業訓練多元發展協會","臺中市","163258","越語實用會話入門班","42","18","7960","20250302","20250420"
"大同大學","臺北市","163273","SKETCHUP 3D室內設計繪圖及渲染班","54","22","7550","20250308","20250510"
"台灣省電工器材業產業工會聯合會","新北市","163274","日文初級班","27","18","5000","20250308","20250412"
"社團法人臺灣養生創意美食發展協會","臺中市","163277","中西式烘焙食品製作班","60","24","12370","20250304","20250520"
"社團法人臺灣養生創意美食發展協會","臺中市","163279","發酵食品及釀造食品製作班","42","24","9800","20250305","20250430"
"南華大學","臺中市","163280","自媒體短影片行銷實戰班","24","22","5000","20250308","20250329"
"南華大學","臺中市","163281","Line官方帳號行銷培訓班","24","22","4550","20250406","20250504"
"南開科技大學","南投縣","163285","脫蠟水晶鑄造技術實務班","54","20","11000","20250308","20250517"
"南開科技大學","南投縣","163286","長照據點活動帶領技巧班","36","20","7100","20250322","20250510"
"中華海運研究協會","臺北市","163288","進出口、保稅與快遞貨物通關實務班","30","22","5550","20250308","20250412"
"社團法人台灣手工藝文創協會","新北市","163291","植物萃取染色應用班","45","28","11100","20250312","20250618"
"新竹市芳療整體保養職業工會","新竹市","163297","流行時尚凝膠美甲技能班","84","23","19250","20250322","20250621"
"社團法人台灣手工藝文創協會","新北市","163298","毛線編織文創設計班","45","28","9390","20250304","20250425"
"新竹市芳療整體保養職業工會","新竹市","163299","美容專業人員班","84","20","19250","20250323","20250622"
"中華職人產業文化推廣協會","臺北市","163301","建築物室內裝修工程實務班","54","25","8910","20250315","20250524"
"社團法人中華民國記帳士交流協會","臺北市","163304","財務管理實務班","24","25","3960","20250310","20250428"
"社團法人中華民國記帳士交流協會","臺北市","163305","財務流程管理與審核解析班","24","25","3960","20250311","20250429"
"台灣省電工器材業產業工會聯合會","臺北市","163306","綠能智慧水電修繕初階班","32","25","8190","20250301","20250309"
"新竹市網路購物服務人員職業工會","新竹縣","163307","Excel Power BI大數據分析應用實務班","47","17","8910","20250302","20250427"
"社團法人中華民國記帳士交流協會","臺北市","163308","會計內帳及稅務申報實務班","32","24","5280","20250322","20250517"
"新竹市網路購物服務人員職業工會","新竹縣","163309","AI智慧應用與Office職場文書班","47","17","8640","20250308","20250503"
"社團法人中華職能協會","臺北市","163311","金融交易實務應用訓練班","54","23","8910","20250316","20250511"
"臺中市總工業會","臺中市","163315","財務報表閱讀與分析實務班","36","24","6460","20250308","20250419"
"花蓮縣職業總工會","花蓮縣","163326","西點蛋糕烘焙技能班","47","20","10600","20250308","20250426"
"財團法人中國生產力中心","臺北市","163330","職場問題溝通與解決技巧實務班","36","30","6480","20250318","20250429"
"台中市派遣服務人員職業工會","臺中市","163337","自來水配管實務班","42","20","9900","20250301","20250426"
"社團法人中華民國居家用品創意翻新協會","臺北市","163343","祺袍製圖打版製作修改班","91","20","16250","20250309","20250608"
"台灣機械業工會聯合會","新北市","163344","新多益能力提升班","36","25","6830","20250310","20250602"
"社團法人中華民國居家用品創意翻新協會","臺北市","163345","成衣女裝製作基礎班","126","20","28000","20250308","20250705"
"彰化縣總工會","彰化縣","163347","手工皂與保養品實作班","54","25","11800","20250304","20250507"
"彰化縣總工會","彰化縣","163348","Solidworks 3D繪圖應用實務班","54","20","9600","20250309","20250525"
"彰化縣總工會","彰化縣","163349","人力資源管理勞動法令應用實務班","54","16","8900","20250319","20250523"
"彰化縣總工會","彰化縣","163350","蝶古巴特創意拼貼進階班","54","20","11900","20250323","20250608"
"台灣機械業工會聯合會","新北市","163356","日文初級班","36","25","6720","20250305","20250521"
"國立高雄科技大學","高雄市","163358","水肺潛水暨水域技能培訓班","57","20","9870","20250307","20250323"
"崑山科技大學","高雄市","163363","民法暨信託法概要學士學分班","54","28","8910","20250303","20250630"
"崑山科技大學","高雄市","163364","土地登記實務學士學分班","54","23","8910","20250307","20250718"
"新竹縣職能培訓協會","新竹市","163366","東歐花藝美學班","47","24","11640","20250303","20250616"
"新北市骨節整復職業工會","臺北市","163370","傳統整復推拿實務A班","98","25","16970","20250308","20250504"
"屏東縣勞動力援助人員職業工會","高雄市","163371","債務協商處理人員培訓班","30","25","5650","20250315","20250419"
"新竹縣職能培訓協會","新竹市","163375","日式池坊花藝班","47","24","11640","20250305","20250618"
"新竹縣職能培訓協會","新竹市","163376","西歐花藝美學班","47","24","11640","20250304","20250617"
"高雄市爭議調處人員職業工會","高雄市","163377","道路交通事故爭議處理實務班","24","25","4300","20250309","20250330"
"高雄市氧身波動能量調理人員職業工會","高雄市","163382","養生美容保健舒壓實作班","30","20","7930","20250305","20250507"
"社團法人中華亞太國際美學教育認證協會","臺北市","163384","彩妝實務應用班","54","18","12090","20250215","20250323"
"新北市產職業聯合總工會","新北市","163390","植物萃取染色應用班","47","28","11580","20250308","20250426"
"新北市產職業聯合總工會","新北市","163391","和菓子文創設計班","47","24","9800","20250309","20250427"
"新北市糕餅業職業工會","新北市","163394","西點蛋糕技能班","42","32","9300","20250420","20250601"
"新北市糕餅業職業工會","新北市","163395","手作蛋糕麵包實作班","64","32","12200","20250319","20250416"
"社團法人中華商業發展協會","新北市","163398","ESG綠領永續人才訓練班","36","20","6760","20250304","20250415"
"財團法人自強工業科學基金會","臺北市","163399","色彩規劃管理人員訓練班","24","20","5000","20250322","20250426"
"新北市職業總工會","新北市","163400","多媒材文創小物實作班","42","20","8590","20250310","20250421"
"臺灣視覺傳達設計產業工會","臺北市","163402","商業廣告影像編修暨Photoshop應用班","57","19","9400","20250303","20250505"
"臺灣視覺傳達設計產業工會","臺北市","163404","商業攝影實務應用班","63","20","10300","20250309","20250518"
"中華民國租賃住宅服務業產業工會","臺北市","163405","地政士實務班","60","40","9900","20250318","20250529"
"新北市保養品從業人員職業工會","新北市","163415","芳療精油調製實務班","47","32","12480","20250309","20250427"
"財團法人自強工業科學基金會","臺北市","163419","淨零碳規劃管理初階訓練班","36","20","6660","20250225","20250513"
"虹宇事業股份有限公司附設職業訓練中心","桃園市","163421","Python資料分析與實務應用班","54","26","8910","20250309","20250511"
"財團法人和春文教基金會","高雄市","163422","提高行政效能運用ChatGPT實務班","47","25","9800","20250308","20250607"
"財團法人自強工業科學基金會","臺北市","163424","iPAS初級資訊安全人員訓練班","30","20","5670","20250307","20250516"
"財團法人自強工業科學基金會","臺北市","163427","Python基礎程式設計班","24","20","4440","20250317","20250409"
"中華數位人資應用管理協會","新北市","163428","勞動法令與就業服務訓練班","54","26","8910","20250323","20250518"
"基隆市手工藝製品業職業工會","基隆市","163430","花藝池坊華道實作班","45","20","8600","20250305","20250611"
"財團法人自強工業科學基金會","臺北市","163432","Dialux evo 12設計實務班","30","20","5670","20250314","20250523"
"基隆市手工藝製品業職業工會","基隆市","163438","日語會話實用班","48","18","6600","20250306","20250703"
"台灣樂活養生健康推廣協會","屏東縣","163444","時尚改良旗袍打版之應用進階班","47","16","11900","20250216","20250420"
"台灣美容職業工會聯合總會","高雄市","163446","美甲彩繪與立體雕花班","91","24","19200","20250322","20250628"
"台灣職能培訓發展協會","屏東縣","163448","童趣造型花藝設計實作班","47","20","11900","20250304","20250422"
"基隆市飾品加工職業工會","基隆市","163449","歡樂馬戲團黏土杯子蛋糕裝飾藝術班","54","20","10000","20250303","20250428"
"基隆市飾品加工職業工會","基隆市","163450","日語會話應用班","48","18","6600","20250313","20250710"
"基隆市飾品加工職業工會","基隆市","163451","巧藝編織手作班","54","20","10100","20250314","20250516"
"台北市商品包膜人員職業工會","臺北市","163453","皮革皮雕製作實務班","90","25","20000","20250308","20250628"
"社團法人高雄市資訊培育協會","高雄市","163454","AutoCAD電腦輔助製圖設計實務班","45","21","8520","20250226","20250416"
"屏東縣文化創藝創作人員職業工會","屏東縣","163457","生活用品彩繪實作班","47","18","11900","20250215","20250419"
"屏東縣芳療整體保養職業工會","屏東縣","163459","芳香精油與花精舒壓運用及行銷管理實務班","45","16","11700","20250313","20250506"
"屏東縣專業職能培訓人員職業工會","屏東縣","163460","磨刻琉璃彩繪創作班","47","16","11900","20250216","20250420"
"屏東縣整體配飾設計職業工會","屏東縣","163463","創意手作拼布實作班","47","16","11900","20250215","20250419"
"高雄市美容業職業工會","高雄市","163465","DIY美容皂與保養品配方設計班","72","24","15000","20250309","20250615"
"高雄市美容業職業工會","高雄市","163466","美容實作技巧班","91","18","19000","20250316","20250629"
"新北市工商服務業職業工會","臺北市","163467","勞動法規與人資專業實務班","30","25","5040","20250301","20250329"
"實踐大學","臺北市","163468","Microsoft Excel 資料分析與視覺化圖表班","36","21","7480","20250309","20250420"
"高雄市創意美學推廣協會","高雄市","163471","花藝創意實作班","91","19","20260","20250306","20250626"
"國立中正大學","臺北市","163472","人力資源管理專題碩士學分班","54","30","8910","20250302","20250622"
"桃園市中餐服務人員職業工會","桃園市","163474","中式麵食進階班","87","25","17200","20250309","20250615"
"桃園市中餐服務人員職業工會","桃園市","163475","西點烘焙專修班","87","25","17800","20250315","20250621"
"中華民國體育運動舞蹈推廣協會","桃園市","163479","倫巴舞蹈訓練班","45","16","8500","20250307","20250627"
"中華民國體育運動舞蹈推廣協會","桃園市","163480","拉丁有氧舞蹈訓練班","45","16","8500","20250315","20250705"
"社團法人桃園市體育促進會","桃園市","163482","拉丁舞蹈訓練班","45","16","8500","20250304","20250701"
"社團法人桃園市體育促進會","新竹市","163483","拉丁舞蹈綜合訓練班","39","18","7300","20250304","20250513"
"社團法人桃園市體育促進會","桃園市","163484","活力拉丁舞蹈綜合訓練班","45","16","8500","20250304","20250610"
"社團法人桃園市體育促進會","桃園市","163485","摩登舞蹈訓練班","45","16","8450","20250307","20250627"
"社團法人中華民國居家用品創意翻新協會","桃園市","163490","成衣女裝製作基礎班","126","20","28000","20250309","20250706"
"社團法人中華民國居家用品創意翻新協會","桃園市","163491","祺袍製圖打版製作修改班","91","20","16250","20250308","20250607"
"社團法人桃園市時兆研究社","桃園市","163492","銀髮族復能訓練班","16","20","3150","20250322","20250329"
"中華民國全競利促進協會","新竹縣","163493","EXCEL導入AI智慧結合自動化數據分析實戰班","47","20","8910","20250227","20250424"
"中華民國全競利促進協會","新竹縣","163494","AI影像生成與電商廣告應用班","47","20","8910","20250308","20250426"
"台北市傳統整復推拿與民俗調理職業工會","新北市","163496","民俗調理業傳統整復推拿調理班","112","24","16840","20250303","20250604"
"社團法人台灣手技研究培訓協會","桃園市","163497","傳統整復推拿實務班","80","23","13650","20250302","20250511"
"台北市園藝花卉業職業工會","臺北市","163498","花藝設計進階班","47","24","11960","20250304","20250429"
"台北市園藝花卉業職業工會","臺北市","163499","園藝作物盆栽班","42","24","10300","20250311","20250422"
"苗栗縣產業總工會","苗栗縣","163500","皮革配件文創設計應用班","72","24","15520","20250302","20250525"
"苗栗縣產業總工會","苗栗縣","163501","會聲會影影音編輯班","27","20","4720","20250304","20250429"
"苗栗縣產業總工會","苗栗縣","163502","皮雕工藝創意實務應用班","48","24","10100","20250306","20250703"
"苗栗縣產業總工會","苗栗縣","163503","實用手工皂與保養品實務應用班","54","24","11340","20250308","20250510"
"苗栗縣產業總工會","苗栗縣","163504","地方特色伴手禮實務班","48","32","9900","20250309","20250504"
"中華民國全國職業總工會","桃園市","163505","皮革製版設計裁切成型技術班","88","24","19600","20250308","20250524"
"新竹縣產職企業總工會","新竹縣","163507","水電裝修維護班","47","18","10320","20250301","20250426"
"社團法人中華民國不動產包租代管房東房客教育訓練協會","臺中市","163513","不動產經紀人專業班","128","15","21120","20250322","20250719"
"國際評量應用發展協會","臺北市","163518","領導深層溝通技巧班","35","23","5100","20250322","20250426"
"桃園市保險業務職業工會","桃園市","163519","稅務規劃應用實務班","48","25","7870","20250304","20250422"
"桃園市保險業務職業工會","桃園市","163520","稅務規劃及高效保險行銷經營實務班","32","30","4650","20250305","20250423"
"桃園市保險業務職業工會","桃園市","163521","車禍調解理賠處理專業人才實務班","48","25","7870","20250307","20250502"
"桃園市保險業務職業工會","桃園市","163522","保單課稅及房地合一稅賦應用實務班","40","25","6410","20250313","20250529"
"桃園市勞動力援助職業工會","桃園市","163528","華道池坊暨歐式花藝設計專才創作班","60","25","13290","20250308","20250517"
"桃園市勞動力援助職業工會","桃園市","163529","韓語會話中級進階班","54","18","8860","20250308","20250621"
"桃園市勞動力援助職業工會","桃園市","163530","中上級日語N2入門班","54","22","8860","20250309","20250622"
"桃園市勞動力援助職業工會","桃園市","163531","日語初階會話訓練班","54","20","8910","20250313","20250710"
"新竹縣美姿禮儀造型職業工會","新竹縣","163532","男女快速剪髮設計班","60","20","13300","20250302","20250511"
"佛光大學","宜蘭縣","163538","專案管理碩士學分班","54","12","8910","20250217","20250616"
"社團法人高雄市新運動文化暨文創經貿發展協會","高雄市","163539","樂齡旅遊遊程設計規劃實務班","24","20","4110","20250220","20250305"
"社團法人台灣手工藝文創協會","桃園市","163540","輕金屬水晶花飾品實務班","47","24","12030","20250308","20250426"
"社團法人台灣多元性設計創作協會","桃園市","163542","AutoCAD電腦繪圖基礎班","54","23","8910","20250309","20250511"
"宜蘭縣勞工團體聯盟總會","宜蘭縣","163543","手作伴手禮製作班","84","24","17300","20250316","20250615"
"社團法人台灣創造活動發展協會","桃園市","163544","ChatGPT生成式AI及自動化Excel實務應用班","54","20","8910","20250316","20250518"
"宜蘭縣勞工團體聯盟總會","宜蘭縣","163547","烘焙點心製作班","91","24","18750","20250308","20250614"
"中山醫學大學","臺中市","163551","歐陸美味烹飪料理班","52","25","10290","20250316","20250629"
"中山醫學大學","臺中市","163552","長春健康活力料理班","52","25","10290","20250319","20250618"
"中山醫學大學","臺中市","163553","經典與時尚西點蛋糕班","52","25","10290","20250320","20250626"
"宜蘭縣勞工團體聯盟總會","宜蘭縣","163554","手作西點烘焙班","84","24","17300","20250321","20250620"
"中山醫學大學","臺中市","163555","手作中式麵點實務班","52","25","10290","20250321","20250627"
"中山醫學大學","臺中市","163556","風味食材麵包實務班","52","25","10290","20250322","20250628"
"財團法人水源地文教基金會","桃園市","163557","精品咖啡萃取與義式咖啡調飲實作班","47","20","11140","20250316","20250504"
"社團法人台灣城鄉發展協會","臺中市","163560","中餐創意料理實務班","90","20","16250","20250311","20250506"
"宜蘭縣勞工團體聯盟總會","宜蘭縣","163562","手創編織商品應用班","55","20","12250","20250320","20250626"
"財團法人自強工業科學基金會","新竹市","163563","商務英文聽說讀寫強化班","30","25","5690","20250308","20250517"
"財團法人自強工業科學基金會","新竹市","163564","新多益聽力與閱讀能力提升班","30","25","5690","20250308","20250517"
"財團法人自強工業科學基金會","新竹市","163565","非財務人員必備之財務知能班","24","25","4550","20250309","20250330"
"花蓮縣創意烘焙美食推廣協會","花蓮縣","163575","經典烘焙麵包技能班","54","20","11100","20250309","20250504"
"新竹縣專業職能培訓人員職業工會","新竹縣","163576","職場實用日語會話實務班","54","20","8910","20250305","20250625"
"新竹縣專業職能培訓人員職業工會","新竹縣","163577","職場實用日語會話應用班","51","20","8410","20250306","20250703"
"社團法人台灣新活力促進協會","臺中市","163580","職場新多益英文解析班","42","28","6930","20250323","20250629"
"社團法人台灣公共職業訓練國際交流暨發展協會","臺中市","163587","新制多益英文聽力閱讀訓練班","36","22","6730","20250308","20250419"
"社團法人台灣手技研究培訓協會","臺中市","163595","傳統整復推拿實務班","80","23","13650","20250301","20250517"
"社團法人台灣安全衛生協會附設台中職業訓練中心","臺中市","163597","丙種職業安全衛生業務主管班","21","20","3350","20250319","20250321"
"萬能學校財團法人萬能科技大學","桃園市","163602","ESG企業永續與淨零實踐規劃班","30","20","4250","20250310","20250409"
"僑光科技大學","臺中市","163605","中西式烘焙食品製作基礎班","36","30","8500","20250310","20250609"
"僑光科技大學","臺中市","163606","咖啡職能養成班","36","30","8400","20250310","20250609"
"僑光科技大學","臺中市","163607","手作珍珠飾品設計暨實作技法應用班","36","25","9100","20250311","20250527"
"僑光科技大學","臺中市","163608","雲端辦公室應用班","36","25","6600","20250313","20250612"
"僑光科技大學","臺中市","163609","Python、Excel與ChatGPT辦公作業與數據分析自動化實戰班","36","25","6700","20250317","20250609"
"僑光科技大學","臺中市","163610","廣告素材與AI生成式整合班","36","25","6800","20250318","20250603"
"社團法人臺灣能源與環境發展協會","臺中市","163611","ISO 14067 內部查證人員訓練課程班","21","20","3960","20250320","20250322"
"僑光科技大學","臺中市","163612","報表統計自動化應用技巧班","36","25","6500","20250319","20250604"
"高雄麵食製作職業工會","高雄市","163619","手作烘焙麵包餅乾班","84","30","17320","20250315","20250607"
"社團法人桃園市舞蹈運動協會","桃園市","163620","流行社交舞訓練班","96","15","15800","20250310","20250630"
"社團法人桃園市舞蹈運動協會","桃園市","163621","流行舞蹈訓練班","42","20","7940","20250314","20250627"
"社團法人彰化縣餐飲協會","彰化縣","163622","中餐烹調技能班","78","30","14500","20250306","20250613"
"社團法人彰化縣餐飲協會","彰化縣","163623","烘焙麵包技能班","54","30","10500","20250312","20250709"
"社團法人彰化縣餐飲協會","彰化縣","163624","蛋糕點心製作班","54","30","10500","20250312","20250709"
"國立空中大學","臺中市","163635","實用日語零基礎初級班","42","20","6800","20250304","20250610"
"國立空中大學","臺中市","163636","實用觀光韓語會話基礎班","45","20","7400","20250304","20250429"
"國立空中大學","臺中市","163637","Google雲端應用實務班","36","20","6500","20250305","20250521"
"國立空中大學","臺中市","163638","生成式AI應用導論班","24","20","4500","20250307","20250502"
"桃園市舞蹈業職業工會","桃園市","163641","國標舞蹈訓練班","96","20","15800","20250310","20250625"
"桃園市舞蹈業職業工會","桃園市","163642","標準舞蹈訓練班","93","20","15300","20250311","20250626"
"社團法人中華民國不動產教育訓練發展協會","臺北市","163643","地政士實務班","99","29","15840","20250312","20250528"
"台灣區電機電子工業同業公會","臺中市","163644","新多益題型解析與應考技巧班","45","25","8530","20250321","20250528"
"社團法人中華民國民俗調理教育發展協會","彰化縣","163645","腳底按摩基礎生理概論與專業術科實務班","64","20","10240","20250322","20250517"
"社團法人中華民國居家用品創意翻新協會","臺中市","163647","成衣女裝製作基礎班","126","20","28000","20250401","20250722"
"中華民國經絡鬆筋整體健康協會","桃園市","163649","傳統整復推拿初級技術員課程(刮痧與拔罐)班","138","20","23860","20250304","20250624"
"中華民國經絡鬆筋整體健康協會","桃園市","163650","運動推拿保健班","84","22","14520","20250307","20250602"
"中華民國經絡鬆筋整體健康協會","桃園市","163651","經絡調理手技與牛角輔具應用班","77","22","13300","20250309","20250601"
"中華民國經絡鬆筋整體健康協會","桃園市","163652","傳統整復推拿技術員手法課程班","110","20","19040","20250320","20250710"
"社團法人台灣職業訓練多元發展協會","臺北市","163653","商用韓語會話A班","39","20","7400","20250303","20250526"
"社團法人中華人才培訓發展協會","桃園市","163658","輕型打檔機車修護實務班","70","24","13920","20250301","20250510"
"社團法人台灣職業訓練多元發展協會","臺北市","163660","縫機設備操作班","48","20","10690","20250315","20250510"
"社團法人中華人才培訓發展協會","桃園市","163661","普通機車電路修護實務班","70","24","13270","20250302","20250511"
"新竹縣產業總工會","新竹縣","163662","立體果凍花實作班","42","25","8780","20250301","20250419"
"新竹縣產業總工會","新竹縣","163663","實用日語班","51","25","6900","20250304","20250624"
"新竹縣產業總工會","新竹縣","163664","客家花布與手工皮革實務班","65","30","11600","20250305","20250625"
"新竹縣產業總工會","新竹縣","163665","傳統整復保健班","48","25","8000","20250306","20250703"
"新竹縣產業總工會","新竹縣","163666","瑜珈教學人員應用實務班","48","25","6900","20250307","20250704"
"新竹縣產業總工會","新竹縣","163667","花藝美學實作班","42","25","10500","20250311","20250610"
"新竹縣產業總工會","新竹縣","163668","勞動法令與相關案例研討實務班","36","25","5200","20250311","20250520"
"新竹縣產業總工會","新竹縣","163669","咖啡拉花手沖調製班","36","20","7500","20250314","20250613"
"社團法人全國道教宮廟人才培訓協會","新北市","163673","陽宅磁場實務應用班","54","16","9350","20250308","20250413"
"社團法人新竹縣勞工技能培訓協會","新竹縣","163676","和菓子應用實務班","42","25","9510","20250302","20250420"
"桃園市工業會","桃園市","163678","人資人員勞動法令與就業服務法令解析實務訓練班","54","30","7300","20250308","20250503"
"桃園市工業會","桃園市","163682","PMP國際專案管理訓練班","42","20","7600","20250308","20250426"
"社團法人宜蘭縣職能發展協會","宜蘭縣","163683","SketchUp電腦繪圖設計班","54","20","8910","20250313","20250516"
"桃園市經絡調理服務人員職業工會","新竹市","163684","經絡調理牛角輔具實務班","77","20","12880","20250317","20250526"
"桃園市經絡調理服務人員職業工會","桃園市","163685","民俗調理業經絡調理技術員實務班","144","20","22990","20250319","20250716"
"桃園市工業會","桃園市","163687","工廠生產品質專業人才實務訓練班","30","20","5500","20250315","20250419"
"社團法人宜蘭縣職能發展協會","宜蘭縣","163688","服裝與配件包設計班","90","20","20000","20250306","20250619"
"社團法人中華國際專業職能教育訓練鑑定協會","彰化縣","163690","時尚剪燙美髮造型流行趨勢進階班","78","20","18010","20250313","20250605"
"桃園市工業會","桃園市","163696","AutoCad工業機械產品繪圖設計班","42","18","7900","20250315","20250503"
"桃園市工業會","桃園市","163697","Excel商業管理應用訓練班","36","18","6770","20250317","20250430"
"中國青年救國團","桃園市","163700","多益英文實務班","30","18","4950","20250311","20250513"
"財團法人台灣產業職業能力發展中心","臺北市","163702","HRBP人力資源策略夥伴培育班","36","25","6480","20250309","20250420"
"財團法人台灣產業職業能力發展中心","臺北市","163706","韓語閱讀寫作實戰班","36","25","6480","20250315","20250426"
